Date,Time,Cels(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-09,20:54:54.180,24.6,81,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:54.370,24.6,81,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:54.570,24.6,83,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:54.770,24.6,83,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:54.970,24.6,88,5.1,-4,-5,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:55.170,24.6,88,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:55.370,24.6,84,5.1,-4,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:55.570,24.6,84,5.1,-4,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:55.770,24.6,83,5.1,-3,-5,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:55.970,24.6,83,5.1,-4,-6,-1017,6,-41,-1024,6,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:56.170,24.6,83,5.1,-4,-6,-1018,6,-41,-1024,6,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:56.370,24.6,83,5.1,-4,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:56.570,24.6,83,5.1,-4,-6,-1017,6,-40,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:56.770,24.6,87,5.1,-4,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:56.970,24.6,87,5.1,-4,-5,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:57.170,24.6,82,5.1,-3,-5,-1018,6,-41,-1024,6,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:57.370,24.6,82,5.1,-3,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:57.570,24.6,82,5.1,-3,-5,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:57.770,24.6,82,5.1,-3,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:57.970,24.6,84,5.1,-4,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:58.170,24.6,84,5.1,-3,-5,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:58.370,24.6,82,5.1,-3,-6,-1017,6,-41,-1024,6,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:58.570,24.6,82,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:58.770,24.6,82,5.1,-4,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:58.970,24.6,83,5.1,-3,-6,-1017,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:59.170,24.6,83,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
2018-07-09,20:54:59.370,24.6,83,5.1,-3,-6,-1018,6,-41,-1024,6,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.0
