Date,Time,Cels(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-10-13,17:37:14.170,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:14.370,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:14.570,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:14.810,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:15.580,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:15.780,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:15.980,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:16.180,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:37:16.390,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:42.970,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:43.170,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:43.370,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:43.570,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:43.770,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:43.980,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:44.180,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:44.380,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:44.580,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
2018-10-13,17:39:44.780,0.00,0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,10.9
